"date","day","category","duration","details","target_pace","target_hr","notes"
"2026-05-23","Saturday","Run Club Long Run","90 min","90 min mostly easy at 7:05-7:35/km. Final 10 min may move to 6:35-6:45/km only if HR stays under 156 and knee feels calm.","7:05-7:35/km; last 10 min 6:35-6:45/km if controlled","HR 140-152 early, max 156 late","This is endurance, not threshold."
"2026-05-24","Sunday","Easy Run","40 min","40 min easy at 7:20-8:00/km. Finish with 8 min stretching.","7:20-8:00/km","HR 138-148","Cut to 30 min if Saturday lingered in the legs."
"2026-05-25","Monday","Upper Push + Walk","35-45 min lift + 30 min walk","Repeat upper push. Try to add a small load or 1-2 reps on the first two exercises. Add a 30 min walk.","No run","Walk easy","Upper body progression is the priority today."
"2026-05-26","Tuesday","Quality Run","65 min total","Warm-up 15 min easy, drills 5 min, 6 x 800m at 5:12-5:18/km pace, meaning 4:10-4:14 per rep, with 90 sec jog recovery, cool-down 12 min easy.","800s in 4:10-4:14","Rep HR peaks 174-181","Last rep should be tough but not a death march."
"2026-05-27","Wednesday","Easy Run + Mobility","45 min run + 12 min mobility","45 min easy at 7:15-7:55/km plus 12 min mobility.","7:15-7:55/km","HR 138-148","Keep the pace smooth and boring."
"2026-05-28","Thursday","Upper Pull + Recovery Jog","35-45 min lift + optional 20 min jog","Repeat upper pull session. Optional 20 min jog at 7:45-8:20/km.","Jog 7:45-8:20/km","Jog HR under 140","If knee is grumpy, do only the lift."
"2026-05-29","Friday","Light Leg Day + Easy Run","25-35 min lift + 20 min run","Cut leg volume to 2 sets each: split squats, RDL, glute bridge, calf raises. Then 20 min easy at 7:25-8:00/km plus 4 x 15 sec strides at 4:30/km.","Easy 7:25-8:00/km; strides around 4:30/km","Easy HR 138-145","This is a lighter leg day to freshen Saturday."
"2026-05-30","Saturday","Run Club Long Run","95 min","95 min easy at 7:05-7:35/km. Keep HR 140-152 for most of the run. No fast finish this week.","7:05-7:35/km","HR 140-152","This is the biggest aerobic day of the block."
"2026-05-31","Sunday","Recovery Walk + Mobility","45 min walk + 15 min mobility","Brisk walk 45 min. Mobility 15 min.","No run","Recovery only","Use the walk to reduce stiffness, not add fatigue."
"2026-06-01","Monday","Upper Push + Walk","35-45 min lift + 30 min walk","Repeat upper push. Stop 1-2 reps shy of failure on every set. Add a 30 min walk.","No run","Walk easy","Keep freshness for Tuesday."
"2026-06-02","Tuesday","Quality Run","65 min total","Warm-up 15 min easy, drills 5 min, 4 x 1km at 5:12-5:16/km with 2 min jog recovery, cool-down 12 min easy.","1ks at 5:12-5:16/km","Rep HR peaks 174-181","Rep 1 should feel controlled; do not blast it."
"2026-06-03","Wednesday","Easy Run","45 min","45 min easy at 7:15-7:55/km.","7:15-7:55/km","HR 138-148","Today is pure aerobic maintenance."
"2026-06-04","Thursday","Upper Pull + Recovery Jog","35-45 min lift + optional 20 min jog","Repeat upper pull session. Optional 20 min jog at 7:45-8:20/km.","Jog 7:45-8:20/km","Jog HR under 140","Keep the jog short and loose if you do it."
"2026-06-05","Friday","Home Leg Day + Easy Run","30-40 min lift + 25 min run","Moderate leg day: split squats 3 x 6-8, RDL 3 x 8-10, step-ups 2 x 10, glute bridge 2 x 12, calf raises 2 x 18. Then 25 min easy at 7:20-7:55/km.","7:20-7:55/km","HR 138-148","Reduce load if the knee feels irritated."
"2026-06-06","Saturday","Run Club Long Run","80 min","80 min easy at 7:05-7:35/km with HR 140-150. No fast finish. This is a cutback long run before the test week.","7:05-7:35/km","HR 140-150","Finish fresher than the previous Saturdays."
"2026-06-07","Sunday","Easy Run","35 min","35 min easy at 7:20-8:00/km.","7:20-8:00/km","HR 138-148","Short and relaxed."
"2026-06-08","Monday","Upper Push + Walk","30-40 min lift + 25 min walk","Upper push at slightly reduced volume: 3 sets on main exercises, 2 sets accessories, 25 min walk.","No run","Walk easy","Start tapering fatigue this week."
"2026-06-09","Tuesday","Tune-Up Session","50-55 min total","Warm-up 15 min easy, drills 5 min, 3 x 400m at 4:58-5:02/km pace, meaning 1:59-2:01 per rep, with full 200m jog recovery, cool-down 12 min easy.","400s in 1:59-2:01","Rep HR rises but do not force max effort","This is sharpening, not fitness building."
"2026-06-10","Wednesday","Easy Run","35 min","35 min easy at 7:20-8:00/km.","7:20-8:00/km","HR 138-145","Keep cadence light and relaxed."
"2026-06-11","Thursday","Shakeout + Mobility","20 min run + 4 strides + 12 min mobility","20 min very easy at 7:30-8:05/km, then 4 x 20 sec strides at about 4:30/km with full walk-back. Finish with 12 min mobility.","Easy 7:30-8:05/km; strides around 4:30/km","Easy HR 135-145","You should finish feeling restless, not tired."
"2026-06-12","Friday","5K Test Day","55-65 min total including warm-up and cool-down","Warm-up 15 min easy at 7:20-7:50/km, drills 5 min, 4 x 20 sec strides, then 5K time trial. Pace plan: km 1 at 5:10, km 2 at 5:08, km 3 at 5:07, km 4 at 5:05, final km all-in if you have it. Cool-down 10 min easy after.","5K target average 5:05-5:08/km","Race HR will climb through high 170s into 180+ late","Target band is 25:20 to 25:40. If you feel amazing, push under 25:15."
